y,n,X1,X2
48,114,1,-0.246821261453768
89,104,1,0.911937238189782
55,83,1,0.264672865795827
37,99,1,-0.265481193759873
9,91,1,-0.988499173429053
73,106,1,0.383929468316581
64,95,1,0.309696285932153
78,104,1,0.509680153846781
57,105,1,0.0662357516684047
54,108,1,0.0545313899661892
27,96,1,-0.618805780461438
95,98,1,1.50029571886738
29,107,1,-0.761654596113965
55,110,1,-0.222481233519988
50,90,1,0.159421462385633
6,96,1,-1.1894219029248
47,105,1,-0.138093882999427
70,89,1,0.548536408414446
49,87,1,0.182745526845385
106,112,1,1.72624304389069
50,94,1,-0.0664500901962032
85,101,1,0.876428401619527
28,95,1,-0.557188392907237
49,87,1,-0.00747999944112152
38,87,1,0.00364918756409969
15,69,1,-0.740673349532519
19,86,1,-0.421931296019297
62,89,1,0.658226629809411
5,78,1,-1.34539992500832
7,80,1,-1.20316927301984
66,100,1,0.482056984532514
6,119,1,-1.53723094340344
113,117,1,1.34521971485407
34,93,1,-0.156345882178775
70,94,1,0.6093374471477
62,92,1,0.442699726240059
83,87,1,1.23302144502511
16,108,1,-1.0207957709101
14,90,1,-0.781128780106481
27,96,1,-0.380700004174935
7,108,1,-1.81402544482227
49,109,1,0.0434541481542842
60,91,1,0.423345324722031
62,94,1,0.37885371619354
61,97,1,0.233807587346629
33,107,1,-0.452002626607437
62,92,1,0.526813437825001
44,92,1,-0.0228496525148445
82,110,1,0.413211404372023
2,94,1,-2.08088590436143
1,85,1,-2.42263852497889
101,110,1,1.08454683433891
44,111,1,-0.303380872835041
86,90,1,1.72680730006439
56,86,1,0.383466397269581
64,87,1,0.603987314690661
14,108,1,-1.16181453141912
87,96,1,1.31313782624154
69,96,1,0.675063565025667
51,96,1,-0.130294981720246
6,108,1,-1.7510039559257
22,89,1,-0.555943871491184
24,94,1,-0.774629620047714
75,109,1,0.571936462613735
5,89,1,-1.39743450454695
75,113,1,0.31091675270758
40,78,1,0.0967687400527462
11,91,1,-1.20774290556742
74,91,1,0.794788594708221
22,93,1,-0.460071003941819
85,96,1,1.05326910940664
35,106,1,-0.323465242889225
52,105,1,-0.108628652540746
20,69,1,-0.631328246958362
90,98,1,1.15620472196645
13,104,1,-1.10124027649092
17,112,1,-0.939769419810779
96,106,1,1.34412780508743
21,97,1,-0.899542698964771
65,83,1,0.66367037967718
2,98,1,-1.75171106110229
60,107,1,0.167158956727737
16,113,1,-0.96985704006115
28,106,1,-0.540819718546426
8,92,1,-1.02765298451583
11,118,1,-1.10846695318043
61,109,1,0.194678573642287
41,91,1,-0.140076865720207
30,80,1,-0.208424076790379
62,105,1,0.0790274872920722
34,78,1,-0.0368747783880242
42,91,1,-0.0450444704776176
56,115,1,-0.0928756313570596
19,129,1,-0.864224476518563
3,95,1,-1.83293452573447
13,94,1,-1.0503099014934
82,86,1,1.25978308498834
11,106,1,-1.27284300723038
40,95,1,-0.161165789684098
93,97,1,1.34833975802419
