y,n,X1,X2
53,103,1,-0.337374785189119
29,100,1,1.26987427446511
27,77,1,0.752861078625436
13,81,1,2.86356578916368
26,107,1,1.57690876498591
46,103,1,-0.370089734095045
51,107,1,-0.590784502821236
49,94,1,-1.05972916850399
34,95,1,1.31309997659459
37,86,1,-0.174354795967389
53,106,1,-0.329951572475308
56,95,1,-0.61811700127921
49,112,1,-0.116625259743268
68,95,1,-1.58322029598252
50,101,1,-0.405205989858802
15,82,1,1.97698619092619
22,105,1,1.8351644462373
52,100,1,0.104436032722979
77,123,1,-1.49144760813318
65,114,1,-1.0952556665234
30,97,1,0.787743049609664
25,94,1,0.873451269007145
30,96,1,1.14692058277409
54,115,1,-0.12933783296443
40,98,1,0.762391561572907
48,109,1,0.0155332490181719
31,92,1,1.93476640611646
59,106,1,-0.970003513446529
60,101,1,-0.829309805412902
44,102,1,0.102454924599115
53,112,1,0.15107300403021
80,104,1,-2.5675773238035
67,106,1,-1.63766597021851
57,107,1,-0.452197618523782
60,101,1,-0.92840219582899
33,99,1,0.645633431039829
47,101,1,-0.465364625398842
29,91,1,0.521116021083859
27,88,1,0.404507944482546
45,97,1,0.20621571864333
34,100,1,0.89170888743551
28,102,1,0.787099732769189
32,87,1,0.558123657514898
16,102,1,2.26906796566887
39,100,1,-0.0970625350904481
46,92,1,-0.728784650831402
58,93,1,-1.21710562301506
63,114,1,-0.667850779053805
42,120,1,0.779234810742657
69,105,1,-1.19606998076087
28,108,1,1.73544504685203
50,109,1,-0.611248843120557
73,101,1,-2.06491157677059
27,101,1,1.59503435739559
51,104,1,-0.256264714862087
57,95,1,-1.48254173318471
51,100,1,-0.791547035800369
33,94,1,0.273341547523903
17,112,1,3.3472445343047
56,108,1,-0.881567464774475
60,95,1,-1.56122602897196
44,99,1,0.0346658248658409
69,94,1,-2.235967696209
44,103,1,0.334783581291022
38,105,1,0.319530569723864
60,115,1,-0.830859744588144
34,117,1,0.52393142510188
71,107,1,-1.04219605266198
36,101,1,0.146047481692578
62,102,1,-1.07233110053274
20,91,1,1.90567771695382
35,104,1,0.98633187057048
26,109,1,1.02453033322189
34,94,1,0.230774959782742
50,101,1,-0.0423979381378566
35,91,1,0.615517397396353
45,103,1,-0.334982577654722
20,75,1,1.66871836579575
43,96,1,0.211390061174698
43,110,1,0.393388232831527
38,85,1,0.0531321037001666
62,101,1,-1.87515999044064
41,101,1,0.309071174226447
44,92,1,-0.926485156042029
62,96,1,-2.43652620455927
42,92,1,-0.129961774818429
54,95,1,-0.894664224723232
66,103,1,-1.91362494969156
34,112,1,0.725244333866091
27,97,1,1.83689015206605
48,114,1,0.046917313171932
35,112,1,0.982122401963409
49,99,1,-1.19672264791054
26,102,1,1.31264376860434
24,104,1,1.56930370377146
45,92,1,-0.945112454441197
66,115,1,-2.02128797400581
40,112,1,0.373187139421894
58,104,1,-0.842233130985595
49,87,1,-0.545558982451621
